What is your name?,What is your phone number?,how long has your business been running?,1. Which product will you buy?,2. Which product will you buy?,3. Which product will you buy?,4. Which product will you buy?,5. Which product will you buy?,6. Which product will you buy?,7. Which product will you buy?,8. Which product will you buy?,9. Which product will you buy?,10. Which product will you buy? ,11. Which product will you buy?,12. Which product will you buy?,13. Which product will you buy?,14. Which product will you buy? ,15. Which product will you buy?,16. Which product will you buy?,17. Which product will you buy?,18. Which product will you buy? ,19. Which product will you buy?,20. Which product will you buy? ,What is your email?
Debra Gray,9311689897,More than 1 year,B,A,"A, B, C","A, B","A, B, C","A, B",D. None (No choice),D. None (No choice),C,"A, B","A, B","A, B, C",B,"A, B",D. None (No choice),C,"A, B, C","A, C",C,C,debragray@example.com
Marie Mason,1437699940,Less than 1 year,C,D. None (No choice),A,D. None (No choice),A,A,D. None (No choice),D. None (No choice),"B, C",A,D. None (No choice),C,D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),A,"B, C",C,D. None (No choice),mariemason@example.com
Laura Phillips,1566365014,More than 1 year,D. None (No choice),C,A,A,B,A,D. None (No choice),C,C,A,B,B,C,D. None (No choice),A,D. None (No choice),D. None (No choice),C,C,D. None (No choice),lauraphillips@example.com
Lisa Holland,5529842029,More than 1 year,"A, B","A, B","A, B","A, B","A, B, C","A, C","A, C","A, C","A, C",C,"A, B, C","A, B, C","A, B","A, B","A, C","A, C","B, C","A, C","A, B, C","A, B, C",lisaholland@example.com
Brandon Gonzalez,1028246008,More than 1 year,A,A,C,"A, C",C,C,C,"A, C",B,"A, B, C","A, C","A, B","A, C",A,"A, B, C","A, B, C",C,"B, C","A, B","A, B, C",brandongonzalez@example.com
Phillip Harris,6708730273,More than 1 year,"A, B","A, B","A, B",B,A,A,B,A,"A, B, C",A,B,C,A,A,B,B,D. None (No choice),"A, B","B, C",A,phillipharris@example.com
Gregory Clark,2668323088,Less than 1 year,A,B,"A, B","A, C",C,"A, C","A, C","A, C","A, B","A, C","A, C",A,"A, C","A, B",A,"A, C",C,"A, B",A,B,gregoryclark@example.com
Eric Rodriguez,5052847346,More than 1 year,A,"B, C","B, C","A, B, C","B, C",C,"A, B, C","A, C","A, B","A, B","B, C","B, C","A, B, C","A, C",D. None (No choice),D. None (No choice),D. None (No choice),B,A,"A, B",ericrodriguez@example.com
Diane Robinson,228535637,More than 1 year,A,B,A,C,C,C,C,A,A,C,C,A,A,A,B,A,A,A,"A, B","A, B",dianerobinson@example.com
April Robinson,8621739162,More than 1 year,"A, B","B, C","A, C","A, C",D. None (No choice),C,"A, B",C,B,D. None (No choice),C,D. None (No choice),"A, C",A,D. None (No choice),A,D. None (No choice),B,"A, B",B,aprilrobinson@example.com
Michael Ward,3719110255,More than 1 year,A,B,D. None (No choice),D. None (No choice),D. None (No choice),C,C,A,D. None (No choice),C,D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),A,michaelward@example.com
Raymond Schroeder,4674561904,Less than 1 year,B,"A, B","A, B",C,B,"A, B",A,D. None (No choice),"B, C",A,A,B,C,C,A,B,B,B,C,B,raymondschroeder@example.com
Sean Watts,254875564,More than 1 year,"A, B",B,"A, B","B, C",D. None (No choice),C,A,A,D. None (No choice),C,"A, C","A, B","A, B","A, B",D. None (No choice),A,B,D. None (No choice),"A, B","A, B",seanwatts@example.com
Eric Blair,4540771740,More than 1 year,"A, B","B, C","A, B","A, B, C","A, C","A, C","A, B, C","A, B, C","A, B, C","A, B, C","A, B, C",D. None (No choice),A,B,A,A,D. None (No choice),C,A,B,ericblair@example.com
Christopher Pace,4916513878,More than 1 year,A,B,B,C,D. None (No choice),C,A,A,D. None (No choice),D. None (No choice),A,D. None (No choice),D. None (No choice),D. None (No choice),A,D. None (No choice),A,D. None (No choice),A,B,christopherpace@example.com
