Email,Business Year,Choice,Price,Attribute
mariemason@example.com,Less than 1 year,0,$40,Shipping and Fulfillment
mariemason@example.com,Less than 1 year,0,$20,Shipping and Fulfillment
mariemason@example.com,Less than 1 year,1,$35,Analytics and Reporting
mariemason@example.com,Less than 1 year,0,$45,SEO and Marketing Features
mariemason@example.com,Less than 1 year,0,$45,Bulk Product Upload
mariemason@example.com,Less than 1 year,0,$55,Website Customization
mariemason@example.com,Less than 1 year,1,$35,Customer Support
mariemason@example.com,Less than 1 year,0,$40,Automated Email Marketing
mariemason@example.com,Less than 1 year,0,$40,Customer Support
mariemason@example.com,Less than 1 year,0,$25,Integration with Third-Party Apps
mariemason@example.com,Less than 1 year,0,$50,Website Customization
mariemason@example.com,Less than 1 year,0,$30,Analytics and Reporting
mariemason@example.com,Less than 1 year,1,$55,Customer Support
mariemason@example.com,Less than 1 year,0,$25,Analytics and Reporting
mariemason@example.com,Less than 1 year,0,$30,Bulk Product Upload
mariemason@example.com,Less than 1 year,1,$45,Website Customization
mariemason@example.com,Less than 1 year,0,$20,Bulk Product Upload
mariemason@example.com,Less than 1 year,0,$45,Automated Email Marketing
mariemason@example.com,Less than 1 year,0,$50,Customer Support
mariemason@example.com,Less than 1 year,0,$25,Customer Support
mariemason@example.com,Less than 1 year,0,$25,Bulk Product Upload
mariemason@example.com,Less than 1 year,0,$45,Shipping and Fulfillment
mariemason@example.com,Less than 1 year,0,$25,SEO and Marketing Features
mariemason@example.com,Less than 1 year,0,$30,Shipping and Fulfillment
mariemason@example.com,Less than 1 year,0,$40,Analytics and Reporting
mariemason@example.com,Less than 1 year,1,$40,Integration with Third-Party Apps
mariemason@example.com,Less than 1 year,1,$35,Shipping and Fulfillment
mariemason@example.com,Less than 1 year,1,$25,Website Customization
mariemason@example.com,Less than 1 year,0,$35,SEO and Marketing Features
mariemason@example.com,Less than 1 year,0,$50,Automated Email Marketing
mariemason@example.com,Less than 1 year,0,$45,Integration with Third-Party Apps
mariemason@example.com,Less than 1 year,0,$35,Automated Email Marketing
mariemason@example.com,Less than 1 year,0,$55,SEO and Marketing Features
mariemason@example.com,Less than 1 year,0,$25,Shipping and Fulfillment
mariemason@example.com,Less than 1 year,0,$50,Integration with Third-Party Apps
mariemason@example.com,Less than 1 year,1,$30,Automated Email Marketing
mariemason@example.com,Less than 1 year,0,$45,Customer Support
mariemason@example.com,Less than 1 year,0,$40,Bulk Product Upload
mariemason@example.com,Less than 1 year,0,$40,Website Customization
mariemason@example.com,Less than 1 year,0,$55,Integration with Third-Party Apps
mariemason@example.com,Less than 1 year,0,$45,Analytics and Reporting
mariemason@example.com,Less than 1 year,0,$55,Analytics and Reporting
mariemason@example.com,Less than 1 year,0,$20,SEO and Marketing Features
mariemason@example.com,Less than 1 year,0,$55,Automated Email Marketing
mariemason@example.com,Less than 1 year,0,$25,Automated Email Marketing
mariemason@example.com,Less than 1 year,0,$20,Website Customization
mariemason@example.com,Less than 1 year,0,$20,Analytics and Reporting
mariemason@example.com,Less than 1 year,0,$40,SEO and Marketing Features
mariemason@example.com,Less than 1 year,1,$50,Shipping and Fulfillment
mariemason@example.com,Less than 1 year,0,$35,Integration with Third-Party Apps
mariemason@example.com,Less than 1 year,0,$55,Bulk Product Upload
mariemason@example.com,Less than 1 year,0,$35,Bulk Product Upload
mariemason@example.com,Less than 1 year,1,$30,Integration with Third-Party Apps
mariemason@example.com,Less than 1 year,1,$20,Integration with Third-Party Apps
mariemason@example.com,Less than 1 year,0,$30,Website Customization
mariemason@example.com,Less than 1 year,0,$30,SEO and Marketing Features
mariemason@example.com,Less than 1 year,1,$55,Shipping and Fulfillment
mariemason@example.com,Less than 1 year,0,$50,Bulk Product Upload
mariemason@example.com,Less than 1 year,0,$50,SEO and Marketing Features
mariemason@example.com,Less than 1 year,0,$20,Customer Support
gregoryclark@example.com,Less than 1 year,1,$40,Shipping and Fulfillment
gregoryclark@example.com,Less than 1 year,0,$20,Shipping and Fulfillment
gregoryclark@example.com,Less than 1 year,0,$35,Analytics and Reporting
gregoryclark@example.com,Less than 1 year,0,$45,SEO and Marketing Features
gregoryclark@example.com,Less than 1 year,1,$45,Bulk Product Upload
gregoryclark@example.com,Less than 1 year,0,$55,Website Customization
gregoryclark@example.com,Less than 1 year,1,$35,Customer Support
gregoryclark@example.com,Less than 1 year,1,$40,Automated Email Marketing
gregoryclark@example.com,Less than 1 year,0,$40,Customer Support
gregoryclark@example.com,Less than 1 year,1,$25,Integration with Third-Party Apps
gregoryclark@example.com,Less than 1 year,0,$50,Website Customization
gregoryclark@example.com,Less than 1 year,1,$30,Analytics and Reporting
gregoryclark@example.com,Less than 1 year,0,$55,Customer Support
gregoryclark@example.com,Less than 1 year,0,$25,Analytics and Reporting
gregoryclark@example.com,Less than 1 year,1,$30,Bulk Product Upload
gregoryclark@example.com,Less than 1 year,1,$45,Website Customization
