Email,Business Year,Choice,Price,Attribute
debragray@example.com,More than 1 year,0,$40,Shipping and Fulfillment
debragray@example.com,More than 1 year,1,$20,Shipping and Fulfillment
debragray@example.com,More than 1 year,0,$35,Analytics and Reporting
debragray@example.com,More than 1 year,1,$45,SEO and Marketing Features
debragray@example.com,More than 1 year,0,$45,Bulk Product Upload
debragray@example.com,More than 1 year,0,$55,Website Customization
debragray@example.com,More than 1 year,1,$35,Customer Support
debragray@example.com,More than 1 year,1,$40,Automated Email Marketing
debragray@example.com,More than 1 year,1,$40,Customer Support
debragray@example.com,More than 1 year,1,$25,Integration with Third-Party Apps
debragray@example.com,More than 1 year,1,$50,Website Customization
debragray@example.com,More than 1 year,0,$30,Analytics and Reporting
debragray@example.com,More than 1 year,1,$55,Customer Support
debragray@example.com,More than 1 year,1,$25,Analytics and Reporting
debragray@example.com,More than 1 year,1,$30,Bulk Product Upload
debragray@example.com,More than 1 year,1,$45,Website Customization
debragray@example.com,More than 1 year,1,$20,Bulk Product Upload
debragray@example.com,More than 1 year,0,$45,Automated Email Marketing
debragray@example.com,More than 1 year,0,$50,Customer Support
debragray@example.com,More than 1 year,0,$25,Customer Support
debragray@example.com,More than 1 year,0,$25,Bulk Product Upload
debragray@example.com,More than 1 year,0,$45,Shipping and Fulfillment
debragray@example.com,More than 1 year,0,$25,SEO and Marketing Features
debragray@example.com,More than 1 year,0,$30,Shipping and Fulfillment
debragray@example.com,More than 1 year,0,$40,Analytics and Reporting
debragray@example.com,More than 1 year,0,$40,Integration with Third-Party Apps
debragray@example.com,More than 1 year,1,$35,Shipping and Fulfillment
debragray@example.com,More than 1 year,1,$25,Website Customization
debragray@example.com,More than 1 year,1,$35,SEO and Marketing Features
debragray@example.com,More than 1 year,0,$50,Automated Email Marketing
debragray@example.com,More than 1 year,1,$45,Integration with Third-Party Apps
debragray@example.com,More than 1 year,1,$35,Automated Email Marketing
debragray@example.com,More than 1 year,0,$55,SEO and Marketing Features
debragray@example.com,More than 1 year,1,$25,Shipping and Fulfillment
debragray@example.com,More than 1 year,1,$50,Integration with Third-Party Apps
debragray@example.com,More than 1 year,1,$30,Automated Email Marketing
debragray@example.com,More than 1 year,0,$45,Customer Support
debragray@example.com,More than 1 year,1,$40,Bulk Product Upload
debragray@example.com,More than 1 year,0,$40,Website Customization
debragray@example.com,More than 1 year,1,$55,Integration with Third-Party Apps
debragray@example.com,More than 1 year,1,$45,Analytics and Reporting
debragray@example.com,More than 1 year,0,$55,Analytics and Reporting
debragray@example.com,More than 1 year,0,$20,SEO and Marketing Features
debragray@example.com,More than 1 year,0,$55,Automated Email Marketing
debragray@example.com,More than 1 year,0,$25,Automated Email Marketing
debragray@example.com,More than 1 year,0,$20,Website Customization
debragray@example.com,More than 1 year,0,$20,Analytics and Reporting
debragray@example.com,More than 1 year,1,$40,SEO and Marketing Features
debragray@example.com,More than 1 year,1,$50,Shipping and Fulfillment
debragray@example.com,More than 1 year,1,$35,Integration with Third-Party Apps
debragray@example.com,More than 1 year,1,$55,Bulk Product Upload
debragray@example.com,More than 1 year,1,$35,Bulk Product Upload
debragray@example.com,More than 1 year,0,$30,Integration with Third-Party Apps
debragray@example.com,More than 1 year,1,$20,Integration with Third-Party Apps
debragray@example.com,More than 1 year,0,$30,Website Customization
debragray@example.com,More than 1 year,0,$30,SEO and Marketing Features
debragray@example.com,More than 1 year,1,$55,Shipping and Fulfillment
debragray@example.com,More than 1 year,0,$50,Bulk Product Upload
debragray@example.com,More than 1 year,0,$50,SEO and Marketing Features
debragray@example.com,More than 1 year,1,$20,Customer Support
lauraphillips@example.com,More than 1 year,0,$40,Shipping and Fulfillment
lauraphillips@example.com,More than 1 year,0,$20,Shipping and Fulfillment
lauraphillips@example.com,More than 1 year,0,$35,Analytics and Reporting
lauraphillips@example.com,More than 1 year,0,$45,SEO and Marketing Features
lauraphillips@example.com,More than 1 year,0,$45,Bulk Product Upload
lauraphillips@example.com,More than 1 year,1,$55,Website Customization
lauraphillips@example.com,More than 1 year,1,$35,Customer Support
lauraphillips@example.com,More than 1 year,0,$40,Automated Email Marketing
lauraphillips@example.com,More than 1 year,0,$40,Customer Support
lauraphillips@example.com,More than 1 year,1,$25,Integration with Third-Party Apps
lauraphillips@example.com,More than 1 year,0,$50,Website Customization
lauraphillips@example.com,More than 1 year,0,$30,Analytics and Reporting
lauraphillips@example.com,More than 1 year,0,$55,Customer Support
lauraphillips@example.com,More than 1 year,1,$25,Analytics and Reporting
lauraphillips@example.com,More than 1 year,0,$30,Bulk Product Upload
lauraphillips@example.com,More than 1 year,1,$45,Website Customization
lauraphillips@example.com,More than 1 year,0,$20,Bulk Product Upload
lauraphillips@example.com,More than 1 year,0,$45,Automated Email Marketing
lauraphillips@example.com,More than 1 year,0,$50,Customer Support
lauraphillips@example.com,More than 1 year,0,$25,Customer Support
lauraphillips@example.com,More than 1 year,0,$25,Bulk Product Upload
lauraphillips@example.com,More than 1 year,0,$45,Shipping and Fulfillment
lauraphillips@example.com,More than 1 year,0,$25,SEO and Marketing Features
lauraphillips@example.com,More than 1 year,1,$30,Shipping and Fulfillment
lauraphillips@example.com,More than 1 year,0,$40,Analytics and Reporting
lauraphillips@example.com,More than 1 year,0,$40,Integration with Third-Party Apps
lauraphillips@example.com,More than 1 year,1,$35,Shipping and Fulfillment
lauraphillips@example.com,More than 1 year,1,$25,Website Customization
lauraphillips@example.com,More than 1 year,0,$35,SEO and Marketing Features
lauraphillips@example.com,More than 1 year,0,$50,Automated Email Marketing
lauraphillips@example.com,More than 1 year,0,$45,Integration with Third-Party Apps
lauraphillips@example.com,More than 1 year,1,$35,Automated Email Marketing
lauraphillips@example.com,More than 1 year,0,$55,SEO and Marketing Features
lauraphillips@example.com,More than 1 year,0,$25,Shipping and Fulfillment
lauraphillips@example.com,More than 1 year,1,$50,Integration with Third-Party Apps
lauraphillips@example.com,More than 1 year,0,$30,Automated Email Marketing
lauraphillips@example.com,More than 1 year,0,$45,Customer Support
